frame.number,frame.time_epoch,eth.src,eth.dst,goose.gocbRef,goose.stNum,goose.sqNum
"799","1775746604.384260000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"800","1775746604.428293000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"801","1775746604.491439000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"802","1775746604.491472000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"803","1775746605.206951000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","2"
"804","1775746605.390601000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"805","1775746605.392356000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"806","1775746605.496287000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"807","1775746605.496332000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"808","1775746606.207333000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","3"
"809","1775746606.403223000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"810","1775746606.404448000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"811","1775746606.497013000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"812","1775746606.497055000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"813","1775746607.249607000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","0"
"814","1775746607.411303000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"815","1775746607.412239000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"816","1775746607.499280000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"817","1775746607.499357000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"818","1775746608.250213000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","1"
"819","1775746608.432298000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"820","1775746608.434293000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"821","1775746608.501538000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"822","1775746608.501568000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"823","1775746609.251842000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","2"
"824","1775746609.439293000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"825","1775746609.440809000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"826","1775746609.503263000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"827","1775746609.503295000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"828","1775746610.252779000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","3"
"829","1775746610.447440000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"830","1775746610.448525000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"831","1775746610.504238000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"832","1775746610.504261000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"833","1775746611.280671000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","0"
"834","1775746611.454537000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"835","1775746611.457014000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"836","1775746611.457016000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"837","1775746611.457098000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"838","1775746611.506287000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"839","1775746611.506315000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"840","1775746611.793418000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"841","1775746611.793457000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"842","1775746611.795574000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"843","1775746611.797209000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"844","1775746611.798243000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"845","1775746611.799249000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"846","1775746611.801104000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"847","1775746611.801303000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"848","1775746611.802400000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"849","1775746611.804805000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"850","1775746612.280876000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","1"
"851","1775746612.406199000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"852","1775746612.447410000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"853","1775746612.508305000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"854","1775746612.508333000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
