window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867635.008811,1774867645.008811,35,8
1774867636.008811,1774867646.008811,34,7
1774867637.008811,1774867647.008811,32,6
1774867638.008811,1774867648.008811,27,7
1774867639.008811,1774867649.008811,26,7
1774867640.008811,1774867650.008811,24,7
1774867641.008811,1774867651.008811,23,7
1774867642.008811,1774867652.008811,19,6
1774867643.008811,1774867653.008811,19,6
1774867644.008811,1774867654.008811,19,5
1774867645.008811,1774867655.008811,19,6
1774867646.008811,1774867656.008811,19,6
1774867647.008811,1774867657.008811,19,6
1774867648.008811,1774867658.008811,14,4
1774867649.008811,1774867659.008811,14,4
1774867650.008811,1774867660.008811,15,4
1774867651.008811,1774867661.008811,16,4
1774867652.008811,1774867662.008811,14,6
1774867653.008811,1774867663.008811,14,6
1774867654.008811,1774867664.008811,14,5
1774867655.008811,1774867665.008811,14,6
1774867656.008811,1774867666.008811,14,6
1774867657.008811,1774867667.008811,14,6
1774867658.008811,1774867668.008811,12,6
1774867659.008811,1774867669.008811,12,6
1774867660.008811,1774867670.008811,11,6
1774867661.008811,1774867671.008811,10,6
1774867662.008811,1774867672.008811,6,3
1774867663.008811,1774867673.008811,5,3
1774867664.008811,1774867674.008811,3,1
1774867665.008811,1774867675.008811,2,1
1774867666.008811,1774867676.008811,1,1
