threshold,baseline_fpr,baseline_accuracy,replay_precision,replay_recall,replay_f1
3,0.9032684464219504,0.09673155357804969,1.0,0.9951456310679612,0.9975669099756691
4,0.8769894790507973,0.12301052094920281,1.0,0.9902912621359223,0.9951219512195122
5,0.8573987300704486,0.14260126992955136,1.0,0.9902912621359223,0.9951219512195122
6,0.7274490174267705,0.27255098257322957,1.0,0.9854368932038835,0.9926650366748166
7,0.7046183259176864,0.2953816740823137,1.0,0.9854368932038835,0.9926650366748166
8,0.6816868279569892,0.3183131720430108,1.0,0.9805825242718447,0.9901960784313726
