frame.time_epoch,ip.src,ip.dst,tcp.len,tcp.payload,time_epoch,tcp.stream,payload_bytes,is_i_frame,ns,nr,asdu_bytes,backward_ns,jump_ns,asdu_fp,fp_total_count,is_rare_fp,stale_fp,fp_age_s,window_id,repeat_fp_count,high_rep_density
1771809409.69118,192.168.100.10,192.168.100.20,18,6810ceedaa3e0b01010001006e0000e23f00,1771809409.69118,0,b'h\x10\xce\xed\xaa>\x0b\x01\x01\x00\x01\x00n\x00\x00\xe2?\x00',True,30439,8021,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\xe2?\x00',False,False,1afa615d7333188b3bee96d9dba0c157b54798d8,1,True,False,0.0,354361881,0,False
1771809410.699448,192.168.100.10,192.168.100.20,18,6810d0edaa3e0b01010001006e0000e33f00,1771809410.699448,0,b'h\x10\xd0\xed\xaa>\x0b\x01\x01\x00\x01\x00n\x00\x00\xe3?\x00',True,30440,8021,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\xe3?\x00',False,False,b08cd027c8e5a9d39cb90113f15c0b65f7886694,1,True,False,0.0,354361882,0,False
1771809411.447554,192.168.100.10,192.168.100.20,16,680ed2edac3e64010703010000000014,1771809411.447554,0,b'h\x0e\xd2\xed\xac>d\x01\x07\x03\x01\x00\x00\x00\x00\x14',True,30441,8022,b'd\x01\x07\x03\x01\x00\x00\x00\x00\x14',False,False,fe894bba52d504171840b3e044e3c5bf04624b44,17,False,False,0.0,354361882,0,False
1771809411.448187,192.168.100.10,192.168.100.20,30,681cd4edac3e0b0314000100640000ffff00650000170000660000fc0800,1771809411.448187,0,b'h\x1c\xd4\xed\xac>\x0b\x03\x14\x00\x01\x00d\x00\x00\xff\xff\x00e\x00\x00\x17\x00\x00f\x00\x00\xfc\x08\x00',True,30442,8022,b'\x0b\x03\x14\x00\x01\x00d\x00\x00\xff\xff\x00e\x00\x00\x17\x00\x00f\x00\x00\xfc\x08\x00',False,False,4d6a7c4a5a118047e9930151a7ef59d4a75992fc,17,False,False,0.0,354361882,0,False
1771809411.449078,192.168.100.10,192.168.100.20,20,6812d6edac3e0102140001006800000169000000,1771809411.449078,0,b'h\x12\xd6\xed\xac>\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00',True,30443,8022,b'\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00',False,False,fadc9d4fdfc255b6e9a0ef4c195f970c043fe82f,9,False,False,0.0,354361882,0,False
1771809411.449423,192.168.100.10,192.168.100.20,23,6815d8edac3e0188140001002c01000100010001000100,1771809411.449423,0,"b'h\x15\xd8\xed\xac>\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00'",True,30444,8022,"b'\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00'",False,False,f5f93a4fa8e7f632f0ba937ed0d7fe6f19c46989,9,False,False,0.0,354361882,0,False
1771809411.449761,192.168.100.10,192.168.100.20,20,6812daedac3e070114000100f40100aaaa000000,1771809411.449761,0,b'h\x12\xda\xed\xac>\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00',True,30445,8022,b'\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00',False,False,82c1f9858b4cbf1fbfacfa36396d73786e095b75,8,False,False,0.0,354361882,0,False
1771809411.449761,192.168.100.10,192.168.100.20,16,680edcedac3e64010a03010000000014,1771809411.449761,0,b'h\x0e\xdc\xed\xac>d\x01\n\x03\x01\x00\x00\x00\x00\x14',True,30446,8022,b'd\x01\n\x03\x01\x00\x00\x00\x00\x14',False,False,6cc284694579e6427a4ad6f8fc6aa1cff67d7cda,8,False,False,0.0,354361882,0,False
1771809411.651066,192.168.100.10,192.168.100.20,18,6810deedac3e0b01010001006e0000e43f00,1771809411.651066,0,b'h\x10\xde\xed\xac>\x0b\x01\x01\x00\x01\x00n\x00\x00\xe4?\x00',True,30447,8022,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\xe4?\x00',False,False,4d5e399f51305c4114a7c04ae1380398c718006f,1,True,False,0.0,354361882,0,False
1771809412.657379,192.168.100.10,192.168.100.20,18,6810e0edac3e0b01010001006e0000e53f00,1771809412.657379,0,b'h\x10\xe0\xed\xac>\x0b\x01\x01\x00\x01\x00n\x00\x00\xe5?\x00',True,30448,8022,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\xe5?\x00',False,False,985e2de743fed13328ebd7916dae38561579b67e,1,True,False,0.0,354361882,0,False
