window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867493.997476,1774867503.997476,24,10
1774867494.997476,1774867504.997476,22,9
1774867495.997476,1774867505.997476,10,5
1774867496.997476,1774867506.997476,13,5
1774867497.997476,1774867507.997476,10,5
1774867498.997476,1774867508.997476,9,5
1774867499.997476,1774867509.997476,9,4
1774867500.997476,1774867510.997476,10,4
1774867501.997476,1774867511.997476,10,4
1774867502.997476,1774867512.997476,11,4
1774867503.997476,1774867513.997476,12,4
1774867504.997476,1774867514.997476,23,8
1774867505.997476,1774867515.997476,25,9
1774867506.997476,1774867516.997476,23,9
1774867507.997476,1774867517.997476,23,8
1774867508.997476,1774867518.997476,23,8
1774867509.997476,1774867519.997476,21,8
1774867510.997476,1774867520.997476,20,8
1774867511.997476,1774867521.997476,20,8
1774867512.997476,1774867522.997476,19,8
1774867513.997476,1774867523.997476,18,8
1774867514.997476,1774867524.997476,14,6
1774867515.997476,1774867525.997476,13,4
1774867516.997476,1774867526.997476,10,4
1774867517.997476,1774867527.997476,8,2
1774867518.997476,1774867528.997476,8,2
1774867519.997476,1774867529.997476,8,2
1774867520.997476,1774867530.997476,8,2
1774867521.997476,1774867531.997476,8,2
1774867522.997476,1774867532.997476,8,2
1774867523.997476,1774867533.997476,8,2
1774867524.997476,1774867534.997476,1,1
