window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867777.916716,1774867787.916716,19,6
1774867778.916716,1774867788.916716,16,6
1774867779.916716,1774867789.916716,16,6
1774867780.916716,1774867790.916716,16,5
1774867781.916716,1774867791.916716,16,6
1774867782.916716,1774867792.916716,16,6
1774867783.916716,1774867793.916716,16,6
1774867784.916716,1774867794.916716,16,6
1774867785.916716,1774867795.916716,16,6
1774867786.916716,1774867796.916716,16,6
1774867787.916716,1774867797.916716,16,6
1774867788.916716,1774867798.916716,16,6
1774867789.916716,1774867799.916716,16,6
1774867790.916716,1774867800.916716,16,5
1774867791.916716,1774867801.916716,16,6
1774867792.916716,1774867802.916716,16,6
1774867793.916716,1774867803.916716,16,6
1774867794.916716,1774867804.916716,16,6
1774867795.916716,1774867805.916716,16,6
1774867796.916716,1774867806.916716,16,6
1774867797.916716,1774867807.916716,16,6
1774867798.916716,1774867808.916716,10,3
1774867799.916716,1774867809.916716,9,3
1774867800.916716,1774867810.916716,7,1
1774867801.916716,1774867811.916716,6,1
1774867802.916716,1774867812.916716,5,1
1774867803.916716,1774867813.916716,4,1
1774867804.916716,1774867814.916716,3,1
1774867805.916716,1774867815.916716,2,1
1774867806.916716,1774867816.916716,1,1
