frame.time_epoch,tcp.stream,ip.src,ip.dst,tcp.len,tcp.payload,time_epoch,payload_bytes,is_i_frame,ns,nr,asdu_bytes,backward_ns,jump_ns,asdu_fp,fp_total_count,is_rare_fp,stale_fp,fp_age_s,window_id,repeat_fp_count,high_rep_density
1771818148.795801,0,192.168.100.10,192.168.100.20,18,6810c25a74450b01010001006e0000fe6100,1771818148.795801,b'h\x10\xc2ZtE\x0b\x01\x01\x00\x01\x00n\x00\x00\xfea\x00',True,11617,8890,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\xfea\x00',False,False,fd1e57931216f4cd447e1e56d55009cd53144e40,1,True,False,0.0,177181814,0,False
1771818149.802059,0,192.168.100.10,192.168.100.20,18,6810c45a74450b01010001006e0000ff6100,1771818149.802059,b'h\x10\xc4ZtE\x0b\x01\x01\x00\x01\x00n\x00\x00\xffa\x00',True,11618,8890,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\xffa\x00',False,False,59ce08ea4ec0699601d1ee23b58193738ae51271,1,True,False,0.0,177181814,0,False
1771818150.806026,0,192.168.100.10,192.168.100.20,18,6810c65a74450b01010001006e0000006200,1771818150.806026,b'h\x10\xc6ZtE\x0b\x01\x01\x00\x01\x00n\x00\x00\x00b\x00',True,11619,8890,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x00b\x00',False,False,1b16a488538988d6d15e6a96d92bd2cdb4f8abc8,1,True,False,0.0,177181815,0,False
1771818151.711742,0,192.168.100.10,192.168.100.20,18,6810c85a74450b01010001006e0000016200,1771818151.711742,b'h\x10\xc8ZtE\x0b\x01\x01\x00\x01\x00n\x00\x00\x01b\x00',True,11620,8890,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x01b\x00',False,False,596c0b1a6392708e581c66d1b480b3f6930a4c26,1,True,False,0.0,177181815,0,False
1771818152.205825,0,192.168.100.20,192.168.100.10,16,680e7445ca5a64010603010000000014,1771818152.205825,b'h\x0etE\xcaZd\x01\x06\x03\x01\x00\x00\x00\x00\x14',True,8890,11621,b'd\x01\x06\x03\x01\x00\x00\x00\x00\x14',False,True,3eb07ebc1df23e6ba82f5916145a488233f11a40,20,False,False,150.77310013771057,177181815,0,False
1771818152.206678,0,192.168.100.10,192.168.100.20,16,680eca5a764564010703010000000014,1771818152.206678,b'h\x0e\xcaZvEd\x01\x07\x03\x01\x00\x00\x00\x00\x14',True,11621,8891,b'd\x01\x07\x03\x01\x00\x00\x00\x00\x14',False,True,fe894bba52d504171840b3e044e3c5bf04624b44,20,False,False,150.77050185203552,177181815,0,False
1771818152.206678,0,192.168.100.10,192.168.100.20,30,681ccc5a76450b0314000100640000ffff00650000170000660000fc0800,1771818152.206678,b'h\x1c\xccZvE\x0b\x03\x14\x00\x01\x00d\x00\x00\xff\xff\x00e\x00\x00\x17\x00\x00f\x00\x00\xfc\x08\x00',True,11622,8891,b'\x0b\x03\x14\x00\x01\x00d\x00\x00\xff\xff\x00e\x00\x00\x17\x00\x00f\x00\x00\xfc\x08\x00',False,False,4d6a7c4a5a118047e9930151a7ef59d4a75992fc,20,False,False,150.7705008983612,177181815,0,False
1771818152.207266,0,192.168.100.10,192.168.100.20,79,6812ce5a764501021400010068000001690000006815d05a76450188140001002c010001000100010001006812d25a7645070114000100f40100aaaa000000680ed45a764564010a03010000000014,1771818152.207266,"b'h\x12\xceZvE\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00h\x15\xd0ZvE\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00h\x12\xd2ZvE\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00h\x0e\xd4ZvEd\x01\n\x03\x01\x00\x00\x00\x00\x14'",True,11623,8891,"b'\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00h\x15\xd0ZvE\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00h\x12\xd2ZvE\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00h\x0e\xd4ZvEd\x01\n\x03\x01\x00\x00\x00\x00\x14'",False,False,69e4ffcae9e3a588e6cbbf448432408dcdb5808d,1,True,False,0.0,177181815,0,False
1771818152.71017,0,192.168.100.10,192.168.100.20,18,6810d65a76450b01010001006e0000026200,1771818152.71017,b'h\x10\xd6ZvE\x0b\x01\x01\x00\x01\x00n\x00\x00\x02b\x00',True,11627,8891,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x02b\x00',False,False,8fbfded6521c0af7f249fbb7ef63091b9c1711a0,1,True,False,0.0,177181815,0,False
1771818153.716536,0,192.168.100.10,192.168.100.20,18,6810d85a76450b01010001006e0000036200,1771818153.716536,b'h\x10\xd8ZvE\x0b\x01\x01\x00\x01\x00n\x00\x00\x03b\x00',True,11628,8891,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x03b\x00',False,False,c4717c2e181fc182ed146eca70b60076a5367765,1,True,False,0.0,177181815,0,False
1771818154.723245,0,192.168.100.10,192.168.100.20,18,6810da5a76450b01010001006e0000046200,1771818154.723245,b'h\x10\xdaZvE\x0b\x01\x01\x00\x01\x00n\x00\x00\x04b\x00',True,11629,8891,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x04b\x00',False,False,913e9512da041bd938eff0a5397ffa16e5a67895,1,True,False,0.0,177181815,0,False
