window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867670.087736,1774867680.087736,32,12
1774867671.087736,1774867681.087736,31,11
1774867672.087736,1774867682.087736,20,6
1774867673.087736,1774867683.087736,19,6
1774867674.087736,1774867684.087736,19,5
1774867675.087736,1774867685.087736,20,6
1774867676.087736,1774867686.087736,20,6
1774867677.087736,1774867687.087736,19,6
1774867678.087736,1774867688.087736,19,6
1774867679.087736,1774867689.087736,19,6
1774867680.087736,1774867690.087736,19,6
1774867681.087736,1774867691.087736,19,6
1774867682.087736,1774867692.087736,17,4
1774867683.087736,1774867693.087736,15,6
1774867684.087736,1774867694.087736,15,5
1774867685.087736,1774867695.087736,15,6
1774867686.087736,1774867696.087736,15,6
1774867687.087736,1774867697.087736,15,6
1774867688.087736,1774867698.087736,15,6
1774867689.087736,1774867699.087736,15,6
1774867690.087736,1774867700.087736,15,6
1774867691.087736,1774867701.087736,14,6
1774867692.087736,1774867702.087736,15,6
1774867693.087736,1774867703.087736,9,3
1774867694.087736,1774867704.087736,7,1
1774867695.087736,1774867705.087736,6,1
1774867696.087736,1774867706.087736,5,1
1774867697.087736,1774867707.087736,4,1
1774867698.087736,1774867708.087736,3,1
1774867699.087736,1774867709.087736,2,1
1774867700.087736,1774867710.087736,1,1
1774867701.087736,1774867711.087736,1,1
