frame.time_epoch,ip.src,ip.dst,tcp.seq,tcp.len
1771809552.348558000,192.168.100.10,192.168.100.20,4434,16
1771809552.348704000,192.168.100.20,192.168.100.10,415,0
1771809552.851958000,192.168.100.10,192.168.100.20,4450,18
1771809552.895055000,192.168.100.20,192.168.100.10,415,0
1771809553.859471000,192.168.100.10,192.168.100.20,4468,18
1771809553.859511000,192.168.100.20,192.168.100.10,415,0
1771809553.860895000,192.168.100.20,192.168.100.10,415,6
1771809553.904563000,192.168.100.10,192.168.100.20,4486,0
1771809554.868663000,192.168.100.10,192.168.100.20,4486,18
1771809554.910545000,192.168.100.20,192.168.100.10,421,0
1771809555.792261000,192.168.100.10,192.168.100.20,4504,18
1771809555.792316000,192.168.100.20,192.168.100.10,421,0
1771809556.797323000,192.168.100.10,192.168.100.20,4522,18
1771809556.797351000,192.168.100.20,192.168.100.10,421,0
1771809557.803633000,192.168.100.10,192.168.100.20,4540,18
1771809557.803733000,192.168.100.20,192.168.100.10,421,0
1771809558.811275000,192.168.100.10,192.168.100.20,4558,18
1771809558.811331000,192.168.100.20,192.168.100.10,421,0
1771809559.820462000,192.168.100.10,192.168.100.20,4576,18
1771809559.820672000,192.168.100.20,192.168.100.10,421,0
1771809560.828045000,192.168.100.10,192.168.100.20,4594,18
1771809560.828243000,192.168.100.20,192.168.100.10,421,0
1771809561.833107000,192.168.100.10,192.168.100.20,4612,18
1771809561.833241000,192.168.100.20,192.168.100.10,421,0
1771809561.833624000,192.168.100.20,192.168.100.10,421,6
1771809561.835136000,192.168.100.10,192.168.100.20,4630,0
1771809562.348857000,192.168.100.20,192.168.100.10,427,16
1771809562.349853000,192.168.100.10,192.168.100.20,4630,0
1771809562.350608000,192.168.100.10,192.168.100.20,4630,16
1771809562.351080000,192.168.100.10,192.168.100.20,4646,30
1771809562.351081000,192.168.100.10,192.168.100.20,4676,20
1771809562.351401000,192.168.100.10,192.168.100.20,4696,23
1771809562.351930000,192.168.100.10,192.168.100.20,4719,20
1771809562.352343000,192.168.100.10,192.168.100.20,4739,16
1771809562.352606000,192.168.100.20,192.168.100.10,443,0
1771809562.854743000,192.168.100.10,192.168.100.20,4755,18
1771809562.898846000,192.168.100.20,192.168.100.10,443,0
1771809563.858097000,192.168.100.10,192.168.100.20,4773,18
1771809563.858162000,192.168.100.20,192.168.100.10,443,0
1771809563.858487000,192.168.100.20,192.168.100.10,443,6
1771809563.900091000,192.168.100.10,192.168.100.20,4791,0
1771809564.866927000,192.168.100.10,192.168.100.20,4791,18
1771809564.911028000,192.168.100.20,192.168.100.10,449,0
1771809565.873531000,192.168.100.10,192.168.100.20,4809,18
1771809565.873550000,192.168.100.20,192.168.100.10,449,0
1771809566.878522000,192.168.100.10,192.168.100.20,4827,18
1771809566.878552000,192.168.100.20,192.168.100.10,449,0
1771809567.884418000,192.168.100.10,192.168.100.20,4845,18
1771809567.884445000,192.168.100.20,192.168.100.10,449,0
1771809568.792751000,192.168.100.10,192.168.100.20,4863,18
1771809568.792831000,192.168.100.20,192.168.100.10,449,0
1771809569.800456000,192.168.100.10,192.168.100.20,4881,18
1771809569.800512000,192.168.100.20,192.168.100.10,449,0
1771809570.806881000,192.168.100.10,192.168.100.20,4899,18
1771809570.806924000,192.168.100.20,192.168.100.10,449,0
1771809571.816874000,192.168.100.10,192.168.100.20,4917,18
1771809571.816928000,192.168.100.20,192.168.100.10,449,0
1771809571.818935000,192.168.100.20,192.168.100.10,449,6
1771809571.821396000,192.168.100.10,192.168.100.20,4935,0
1771809572.439583000,192.168.100.20,192.168.100.10,455,16
1771809572.443521000,192.168.100.10,192.168.100.20,4935,0
1771809572.444954000,192.168.100.10,192.168.100.20,4935,16
1771809572.444955000,192.168.100.10,192.168.100.20,4951,30
1771809572.445300000,192.168.100.20,192.168.100.10,471,0
1771809572.446085000,192.168.100.10,192.168.100.20,4981,79
1771809572.487180000,192.168.100.20,192.168.100.10,471,0
1771809572.846248000,192.168.100.10,192.168.100.20,5060,18
1771809572.846271000,192.168.100.20,192.168.100.10,471,0
1771809573.852483000,192.168.100.10,192.168.100.20,5078,18
1771809573.852610000,192.168.100.20,192.168.100.10,471,0
1771809573.852934000,192.168.100.20,192.168.100.10,471,6
1771809573.895684000,192.168.100.10,192.168.100.20,5096,0
1771809574.861896000,192.168.100.10,192.168.100.20,5096,18
1771809574.907704000,192.168.100.20,192.168.100.10,477,0
1771809575.867566000,192.168.100.10,192.168.100.20,5114,18
1771809575.867655000,192.168.100.20,192.168.100.10,477,0
1771809576.873365000,192.168.100.10,192.168.100.20,5132,18
1771809576.873395000,192.168.100.20,192.168.100.10,477,0
1771809577.877485000,192.168.100.10,192.168.100.20,5150,18
1771809577.877510000,192.168.100.20,192.168.100.10,477,0
1771809578.884945000,192.168.100.10,192.168.100.20,5168,18
1771809578.884971000,192.168.100.20,192.168.100.10,477,0
1771809579.890894000,192.168.100.10,192.168.100.20,5186,18
1771809579.890964000,192.168.100.20,192.168.100.10,477,0
