frame.time_epoch,ip.src,ip.dst,tcp.seq,tcp.len
1771809437.698654000,192.168.100.10,192.168.100.20,880,18
1771809437.698712000,192.168.100.20,192.168.100.10,85,0
1771809438.713543000,192.168.100.10,192.168.100.20,898,18
1771809438.713604000,192.168.100.20,192.168.100.10,85,0
1771809439.719752000,192.168.100.10,192.168.100.20,916,18
1771809439.719783000,192.168.100.20,192.168.100.10,85,0
1771809440.726871000,192.168.100.10,192.168.100.20,934,18
1771809440.726937000,192.168.100.20,192.168.100.10,85,0
1771809440.727147000,192.168.100.20,192.168.100.10,85,6
1771809440.727745000,192.168.100.10,192.168.100.20,952,0
1771809441.727976000,192.168.100.20,192.168.100.10,91,16
1771809441.729582000,192.168.100.10,192.168.100.20,952,0
1771809441.730526000,192.168.100.10,192.168.100.20,952,16
1771809441.730526000,192.168.100.10,192.168.100.20,968,30
1771809441.730527000,192.168.100.10,192.168.100.20,998,43
1771809441.731090000,192.168.100.10,192.168.100.20,1041,54
1771809441.732408000,192.168.100.20,192.168.100.10,107,0
1771809442.735460000,192.168.100.10,192.168.100.20,1095,18
1771809442.736335000,192.168.100.20,192.168.100.10,107,6
1771809442.779194000,192.168.100.10,192.168.100.20,1113,0
1771809443.747939000,192.168.100.10,192.168.100.20,1113,18
1771809443.791940000,192.168.100.20,192.168.100.10,113,0
1771809444.753071000,192.168.100.10,192.168.100.20,1131,18
1771809444.753177000,192.168.100.20,192.168.100.10,113,0
1771809445.662113000,192.168.100.10,192.168.100.20,1149,18
1771809445.662287000,192.168.100.20,192.168.100.10,113,0
1771809446.672803000,192.168.100.10,192.168.100.20,1167,18
1771809446.672991000,192.168.100.20,192.168.100.10,113,0
1771809447.684148000,192.168.100.10,192.168.100.20,1185,18
1771809447.684264000,192.168.100.20,192.168.100.10,113,0
1771809448.694089000,192.168.100.10,192.168.100.20,1203,18
1771809448.694155000,192.168.100.20,192.168.100.10,113,0
1771809449.704441000,192.168.100.10,192.168.100.20,1221,18
1771809449.704566000,192.168.100.20,192.168.100.10,113,0
1771809450.710578000,192.168.100.10,192.168.100.20,1239,18
1771809450.710653000,192.168.100.20,192.168.100.10,113,0
1771809450.710804000,192.168.100.20,192.168.100.10,113,6
1771809450.711645000,192.168.100.10,192.168.100.20,1257,0
1771809451.723729000,192.168.100.10,192.168.100.20,1257,18
1771809451.770697000,192.168.100.20,192.168.100.10,119,0
1771809451.771746000,192.168.100.20,192.168.100.10,119,16
1771809451.775540000,192.168.100.10,192.168.100.20,1275,0
1771809451.775541000,192.168.100.10,192.168.100.20,1275,16
1771809451.775541000,192.168.100.10,192.168.100.20,1291,30
1771809451.775605000,192.168.100.20,192.168.100.10,135,0
