window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867707.230874,1774867717.230874,19,7
1774867708.230874,1774867718.230874,19,9
1774867709.230874,1774867719.230874,17,9
1774867710.230874,1774867720.230874,17,9
1774867711.230874,1774867721.230874,17,9
1774867712.230874,1774867722.230874,17,9
1774867713.230874,1774867723.230874,17,9
1774867714.230874,1774867724.230874,15,6
1774867715.230874,1774867725.230874,15,5
1774867716.230874,1774867726.230874,15,6
1774867717.230874,1774867727.230874,15,6
1774867718.230874,1774867728.230874,10,4
1774867719.230874,1774867729.230874,11,4
1774867720.230874,1774867730.230874,12,4
1774867721.230874,1774867731.230874,13,4
1774867722.230874,1774867732.230874,14,4
1774867723.230874,1774867733.230874,16,5
1774867724.230874,1774867734.230874,16,6
1774867725.230874,1774867735.230874,16,5
1774867726.230874,1774867736.230874,16,6
1774867727.230874,1774867737.230874,16,6
1774867728.230874,1774867738.230874,15,6
1774867729.230874,1774867739.230874,14,6
1774867730.230874,1774867740.230874,13,6
1774867731.230874,1774867741.230874,12,6
1774867732.230874,1774867742.230874,11,6
1774867733.230874,1774867743.230874,9,4
1774867734.230874,1774867744.230874,4,3
1774867735.230874,1774867745.230874,2,1
1774867736.230874,1774867746.230874,1,1
