window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867566.052754,1774867576.052754,8,4
1774867567.052754,1774867577.052754,5,3
1774867568.052754,1774867578.052754,5,3
1774867569.052754,1774867579.052754,5,2
1774867570.052754,1774867580.052754,5,2
1774867571.052754,1774867581.052754,5,2
1774867572.052754,1774867582.052754,5,2
1774867573.052754,1774867583.052754,5,2
1774867574.052754,1774867584.052754,5,2
1774867575.052754,1774867585.052754,5,2
1774867576.052754,1774867586.052754,5,2
1774867577.052754,1774867587.052754,6,3
1774867578.052754,1774867588.052754,7,4
1774867579.052754,1774867589.052754,5,2
1774867580.052754,1774867590.052754,5,2
1774867581.052754,1774867591.052754,5,2
1774867582.052754,1774867592.052754,5,2
1774867583.052754,1774867593.052754,5,2
1774867584.052754,1774867594.052754,5,2
1774867585.052754,1774867595.052754,5,2
1774867586.052754,1774867596.052754,5,2
1774867587.052754,1774867597.052754,2,2
1774867588.052754,1774867598.052754,0,0
1774867589.052754,1774867599.052754,0,0
1774867590.052754,1774867600.052754,0,0
1774867591.052754,1774867601.052754,0,0
1774867592.052754,1774867602.052754,0,0
1774867593.052754,1774867603.052754,0,0
1774867594.052754,1774867604.052754,0,0
