window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867741.044675,1774867751.044675,23,10
1774867742.044675,1774867752.044675,21,9
1774867743.044675,1774867753.044675,14,7
1774867744.044675,1774867754.044675,8,4
1774867745.044675,1774867755.044675,7,3
1774867746.044675,1774867756.044675,9,4
1774867747.044675,1774867757.044675,10,4
1774867748.044675,1774867758.044675,11,4
1774867749.044675,1774867759.044675,12,4
1774867750.044675,1774867760.044675,13,4
1774867751.044675,1774867761.044675,14,4
1774867752.044675,1774867762.044675,14,4
1774867753.044675,1774867763.044675,15,6
1774867754.044675,1774867764.044675,15,6
1774867755.044675,1774867765.044675,15,5
1774867756.044675,1774867766.044675,14,6
1774867757.044675,1774867767.044675,14,6
1774867758.044675,1774867768.044675,14,6
1774867759.044675,1774867769.044675,15,6
1774867760.044675,1774867770.044675,15,6
1774867761.044675,1774867771.044675,15,6
1774867762.044675,1774867772.044675,17,7
1774867763.044675,1774867773.044675,12,4
1774867764.044675,1774867774.044675,11,4
1774867765.044675,1774867775.044675,9,2
1774867766.044675,1774867776.044675,8,2
1774867767.044675,1774867777.044675,7,2
1774867768.044675,1774867778.044675,6,2
1774867769.044675,1774867779.044675,4,2
1774867770.044675,1774867780.044675,3,2
1774867771.044675,1774867781.044675,2,2
