window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867813.059439,1774867823.059439,8,4
1774867814.059439,1774867824.059439,6,3
1774867815.059439,1774867825.059439,7,4
1774867816.059439,1774867826.059439,5,2
1774867817.059439,1774867827.059439,5,2
1774867818.059439,1774867828.059439,5,2
1774867819.059439,1774867829.059439,5,2
1774867820.059439,1774867830.059439,5,2
1774867821.059439,1774867831.059439,5,2
1774867822.059439,1774867832.059439,5,2
1774867823.059439,1774867833.059439,5,2
1774867824.059439,1774867834.059439,4,3
1774867825.059439,1774867835.059439,3,1
1774867826.059439,1774867836.059439,5,2
1774867827.059439,1774867837.059439,5,2
1774867828.059439,1774867838.059439,5,2
1774867829.059439,1774867839.059439,5,2
1774867830.059439,1774867840.059439,5,2
1774867831.059439,1774867841.059439,5,2
1774867832.059439,1774867842.059439,5,2
1774867833.059439,1774867843.059439,5,2
1774867834.059439,1774867844.059439,3,2
1774867835.059439,1774867845.059439,2,2
1774867836.059439,1774867846.059439,0,0
1774867837.059439,1774867847.059439,0,0
1774867838.059439,1774867848.059439,0,0
1774867839.059439,1774867849.059439,0,0
1774867840.059439,1774867850.059439,0,0
1774867841.059439,1774867851.059439,0,0
