window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867601.165009,1774867611.165009,18,7
1774867602.165009,1774867612.165009,15,6
1774867603.165009,1774867613.165009,15,5
1774867604.165009,1774867614.165009,15,6
1774867605.165009,1774867615.165009,15,6
1774867606.165009,1774867616.165009,15,6
1774867607.165009,1774867617.165009,17,8
1774867608.165009,1774867618.165009,21,10
1774867609.165009,1774867619.165009,22,11
1774867610.165009,1774867620.165009,22,11
1774867611.165009,1774867621.165009,21,10
1774867612.165009,1774867622.165009,21,10
1774867613.165009,1774867623.165009,19,8
1774867614.165009,1774867624.165009,18,8
1774867615.165009,1774867625.165009,17,8
1774867616.165009,1774867626.165009,16,8
1774867617.165009,1774867627.165009,13,5
1774867618.165009,1774867628.165009,14,6
1774867619.165009,1774867629.165009,14,5
1774867620.165009,1774867630.165009,14,6
1774867621.165009,1774867631.165009,13,6
1774867622.165009,1774867632.165009,9,4
1774867623.165009,1774867633.165009,9,4
1774867624.165009,1774867634.165009,9,4
1774867625.165009,1774867635.165009,9,4
1774867626.165009,1774867636.165009,9,4
1774867627.165009,1774867637.165009,9,4
1774867628.165009,1774867638.165009,3,3
1774867629.165009,1774867639.165009,1,1
